scorer,,,Phoebe_Shaw,Phoebe_Shaw,Phoebe_Shaw,Phoebe_Shaw,Phoebe_Shaw,Phoebe_Shaw,Phoebe_Shaw,Phoebe_Shaw,Phoebe_Shaw,Phoebe_Shaw,Phoebe_Shaw,Phoebe_Shaw,Phoebe_Shaw,Phoebe_Shaw,Phoebe_Shaw,Phoebe_Shaw,Phoebe_Shaw,Phoebe_Shaw,Phoebe_Shaw,Phoebe_Shaw
bodyparts,,,bodypart1 r_eye,bodypart1 r_eye,bodypart2 l_eye,bodypart2 l_eye,bodypart3 beak,bodypart3 beak,bodypart4 r_leg,bodypart4 r_leg,bodypart5 l_leg,bodypart5 l_leg,bodypart6 neck,bodypart6 neck,bodypart7 tail,bodypart7 tail,bodypart8 r_wing,bodypart8 r_wing,bodypart9 l_wing,bodypart9 l_wing,bodypart10 head,bodypart10 head
coords,,,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y,x,y
labeled-data,IMG_8019,img003.png,297.20246332961153,820.9556578069136,294.5696335611568,828.8541471122776,284.9159244101563,816.5676081928225,308.5755062975597,786.7629419456989,301.8544042612595,785.0826664366239,298.49385324310936,818.3521215163099,303.1986246685195,792.8119337783692,309.7516991539122,805.7500551982471,295.8054124285893,804.741889892802,294.62921957223676,829.7779949780203
labeled-data,IMG_8019,img014.png,285.81846685563033,837.3876873917886,281.1597337448994,845.4110610824919,273.6539970664996,834.5406838241197,288.40665191714754,789.5062637537206,300.3123032001266,790.5415377783276,287.11255938638897,828.8466766887819,288.40665191714754,801.153096530548,279.08918569568567,810.4705627520099,292.54774801557505,814.6116588504374,283.4891003002649,850.846249711678
labeled-data,IMG_8019,img077.png,357.0612609252581,801.0803549082927,364.49888747046015,797.0959121162202,354.40496573054315,797.8928006746347,353.0768181331856,743.9700082219201,371.40525497671916,746.6263034166351,366.09266458728916,791.5176922073188,364.49888747046015,756.4545956370806,356.26437236684365,761.7671860265107,378.0459929635067,762.8297041043967,361.57696275627364,804.5335386614223
labeled-data,IMG_8019,img109.png,290.74435685556966,838.2841529649385,295.60742036589403,832.7263660959962,303.59673898999836,830.9895576994518,281.36559151422966,777.4958590858834,289.702271817643,775.0643273307212,287.61810174178964,822.6528773960385,283.449761590083,792.4324112961655,281.36559151422966,802.1585383168143,298.733675479674,799.727006561652,284.8392083073186,841.4104080787184
labeled-data,IMG_8019,img119.png,294.8175045823657,860.8085145641237,302.17339896773035,856.6401744124171,309.0389003940707,855.6593884943685,287.21641371748893,800.2449841246215,302.4185954472425,799.509394686085,292.8559327462685,848.0582976294917,286.9712172379768,810.7884327436442,284.02885948383096,827.2165968709585,303.154184885779,823.0482567192519,296.5338799389508,863.9960687977817
labeled-data,IMG_8019,img192.png,369.89203511992986,763.0486100724945,375.5656092153083,766.0522669465183,384.2428401847107,757.0412963244466,345.1953008224001,701.9742536340086,363.88472137188205,699.6380760653234,361.2148041505275,749.031544660383,334.1818922843125,709.3165259927337,350.2013956124399,736.0156982062795,366.22089894056734,723.3335914048453,371.22699373060715,767.720965209865
labeled-data,IMG_8019,img242.png,356.00381875504877,791.0913227735005,361.1529448248041,782.2642495110629,374.3935547184604,780.0574811954534,339.45305638797834,718.2679683583905,351.95807684309824,710.9120739730258,348.6479243696841,773.0693815293571,317.0175785126162,725.9916574630233,329.1548042484678,747.6915458998491,359.68176594773115,736.657704321802,355.63602403578057,791.0913227735005
labeled-data,IMG_8019,img278.png,258.466038435311,729.1014299245696,266.3668138862582,721.2006544736223,277.03286074503694,720.805615701075,252.54045684710061,657.9944508660446,260.8362710705952,656.4142957758553,264.78665879606876,702.2387933913491,233.18355699227996,661.9448385915183,247.00991403143757,695.9181730305913,273.0824730195634,678.14142826596,263.20650370587936,728.3113523794749
labeled-data,IMG_8019,img331.png,179.85079751519802,725.3010888225307,185.95346544972276,719.198420888006,203.82556440083087,715.7111820682776,164.15822282642011,650.7613590508357,174.18403443313932,651.1972639033017,181.59441692506223,695.6595588548391,155.8760306295651,658.1717415427586,162.4146034165559,681.7106035759255,190.31251397438328,672.9925065266044,181.15851207259615,723.9933742651325
